Disease name,Text
Vitiligo,"""I've had these light patches on my neck and face for years, but they seem to be spreading lately. I haven't noticed any pain or itching, but I'm starting to worry about sun exposure and potential complications. Could this be Vitiligo?"""
Scabies,"""Doctor, I've noticed these small, red bumps on my wrists and elbows. They itch like crazy, and I'm starting to worry about bed bugs or something. Could it be something more serious?"""
Vitiligo,"""Doctor, I noticed a pale patch around my knee recently, and it looks different from any sunspots I've had before. Is it something I should be concerned about? Should I use any special creams or lotions?"""
Hives (Urticaria),"Hives, also known as urticaria, typically present as raised, itchy welts on the skin, varying in size and shape. These welts are often red or pink and may appear suddenly, disappearing within hours or persisting for days. They can occur singularly or cluster together, spreading across different parts of the body. Alongside the skin rash, hives may cause a burning or stinging sensation and occasionally trigger swelling of the lips, eyelids, or throat, leading to difficulty breathing or swallowing. In some cases, hives can be accompanied by fever, fatigue, or digestive issues, although these systemic symptoms are less common."
Folliculitis,"""I have these small, hard bumps on my buttocks that hurt when I sit down. They're red and inflamed, and I'm worried about ingrown hairs."""
Hives (Urticaria),"""Doctor, I woke up this morning covered in these itchy, raised bumps all over my arms and legs. They burn and feel like mosquito bites, but I haven't been outside! Is it an allergic reaction?"""
Vitiligo,"""Mommy, why do I have these white spots on my arm? They don't hurt, but they look different from my skin. Can you ask the doctor about it?"""
Eczema,"""I was diagnosed with eczema a few months ago, but the creams I've been using haven't helped much. My skin is still itchy and uncomfortable, and I'm not sure what else to do."""
Ringworm (Tinea Corporis),"""I have this red, scaly patch on my belly that just appeared in the past few weeks. It's not terribly painful, but it's quite annoying, especially with the growing baby bump."""
Athlete's Foot (Tinea Pedis),"""I noticed some dry, flaky patches on my feet, and they itch sometimes. But I'm worried because I have diabetes, and I know foot problems can be serious."""
Ringworm (Tinea Corporis),"""My dog has this patch of hairless skin on its leg that looks kind of red and inflamed. It seems to be bothering him, and I'm afraid it might be contagious."""
Eczema,"""I've noticed these itchy, scaly patches on my legs lately. They weren't there before, and I'm worried it might be something serious."""
Rosacea," ""My face breaks out so easily, but it's not like typical acne. I have these red, bumpy patches that get worse when I'm stressed or hot. My friends don't understand, and I'm feeling really self-conscious about my skin."""
Psoriasis,"""I have these thick, red patches on my joints that crack and bleed sometimes. They're painful and make it hard to move my hands and knees."""
Shingles (Herpes Zoster),"""I'm usually active and healthy, but I've been feeling exhausted and feverish. Now, I have this red, bumpy rash on my leg that's starting to spread. It's not like any insect bite I've ever seen, and it's really worrying me."""
Impetigo,"""Coach, I have these itchy blisters on my leg from practice. They started as small red bumps and now they're filled with pus and scabbing over. Could it be impetigo?"""
Vitiligo,"""I just noticed some white patches on my stomach during my pregnancy. I'm worried if this is related to the pregnancy hormones or could affect my baby in any way. Can you tell me what it is and if there's anything I should do?"""
Scabies,"Scabies, a contagious skin condition caused by the Sarcoptes scabiei mite, typically presents with various symptoms. Itching, especially at night, is a hallmark, often intensifying over time. The infestation leads to burrow tracks, tiny blisters, or red bumps in skin folds and between fingers, resembling a rash. Common sites of infestation include the wrists, elbows, armpits, and groin. Scratching the affected areas may result in secondary infections. Individuals may experience insomnia due to severe itching. Prompt medical attention is necessary to diagnose scabies and avoid spreading the mites to others through close contact."
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?"""
Shingles (Herpes Zoster),"""I'm usually healthy, but I've been feeling run down lately. Now, I have this red, itchy rash on my neck that's starting to spread. It's making me self-conscious and uncomfortable, and I don't know what's causing it."""
Folliculitis,"""I've been using a new hot tub, and now I have these itchy, red bumps on my arms and legs. They look like tiny pimples, but they're clustered together."""
Contact Dermatitis," ""My feet are burning and itching after my run. They're red and swollen, especially around my toes. I think it might be my new running shoes, they feel a bit tight."""
Folliculitis,"""My baby has these little white bumps on their face that look like pimples. They seem to scab over sometimes and make their skin look red."""
Shingles (Herpes Zoster),"""I've been feeling generally unwell for a few days, with a fever and fatigue. Now, I have this painful rash on my forehead that's making my eye feel sensitive. It's like a line of blisters that's just getting bigger."""
Acne,"Acne manifests in various forms, showcasing inflammatory symptoms like papules, pustules, nodules, and cysts, each presenting different sizes and levels of tenderness. Alongside these, non-inflammatory signs such as blackheads and whiteheads emerge, accompanied by redness, swelling, and oily skin. The condition often leads to scarring, especially when severe or untreated, impacting one's emotional well-being. Acne's range of symptoms visible lesions, skin texture changes, and psychological effects stems from factors like skin type, hormonal fluctuations, and lifestyle choices. Seeking guidance from a dermatologist aids in tailored treatment for managing these diverse manifestations effectively."
Eczema,"Eczema, also known as atopic dermatitis, presents various symptoms that affect the skin's appearance and texture. Common manifestations include red or inflamed patches, often accompanied by intense itching, which can lead to scratching and subsequent skin thickening. These areas may weep, crust, or scale over time. Eczema often causes dry, sensitive skin that may become discolored or develop small, raised bumps. In severe cases, it can lead to painful cracks or fissures. Additionally, eczema might provoke sleep disturbances due to itching, impacting daily life and potentially causing emotional distress due to its persistent nature. Early diagnosis and proper management help alleviate symptoms and prevent flare-ups."
Contact Dermatitis," ""My arms and legs are covered in this rash. It's itchy and bumpy, and some of the bumps are oozing clear fluid. I've been working in the garden all day, could it be something I touched out there?"""
Athlete's Foot (Tinea Pedis),"""After my recent trip abroad, my feet started itching like crazy. The skin between my toes is cracked and red, and it seems to be spreading. I think I used shared sandals at the beach."""
Ringworm (Tinea Corporis),"""Doctor, I have this itchy, red circle on my arm that keeps getting bigger. It's scaly and a little bumpy, and it feels really irritated when I scratch it."""
Ringworm (Tinea Corporis),"""Since returning from my trip to Asia, I've developed this itchy, ring-shaped rash on my arm. I think it might be something I picked up during my travels."""
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?"""
Athlete's Foot (Tinea Pedis),"Athlete's Foot, medically termed Tinea Pedis, presents with several distinct symptoms. It typically begins with itching and burning sensations, often between the toes. As it progresses, the skin becomes increasingly red, scaly, and may peel or crack, leading to soreness and discomfort. In some cases, blisters may form, oozing fluid and contributing to the overall discomfort. The affected area often exhibits a foul odor, and if left untreated, the infection can spread to other parts of the foot. Athlete's Foot symptoms vary in intensity, but prompt treatment, proper hygiene, and antifungal medications can effectively alleviate the condition."
Acne,"""Coach, my face has been breaking out really bad after practice lately. I sweat a lot during training, and I think it might be clogging my pores. I'm worried it might affect my performance, and I don't want to miss any games. Is there anything I can do to prevent this?"""
Rosacea," ""I have oily skin and rosacea, which seems like a confusing combination. I get these red patches and bumps, but I also have breakouts and excess shine. I'm not sure what skincare routine is right for me."""
Folliculitis,"Folliculitis manifests as small red or white-headed pimples around hair follicles. Commonly appearing on the scalp, face, chest, back, or groin, it may cause itching, tenderness, or a sensation of burning. The affected area might exhibit pus-filled blisters or crust over, and in severe cases, lead to hair loss. Folliculitis symptoms vary, ranging from mild discomfort to painful eruptions that can cause scarring. Often caused by bacterial or fungal infections, this condition can also stem from friction due to tight clothing or skin irritation from substances like oils or makeup. Seeking medical advice helps in identifying the cause and choosing appropriate treatments."
Hives (Urticaria)," ""These itchy bumps keep popping up on my belly and thighs. They come and go quickly, but they're driving me crazy! I didn't have these with my first pregnancy."""
Hives (Urticaria)," ""As soon as I step outside in the sun, my skin starts to swell and get itchy. I haven't been able to enjoy summer for years! Is there anything I can do?"""
Rosacea," ""My skin has been acting up lately, and I'm not sure if it's related to my pregnancy. I have these red patches and bumps on my face that weren't there before. I'm worried about using medications while pregnant."""
Eczema,"""I've noticed my eczema flaring up lately, and I think it might be related to stress. I'm going through a lot right now, and it's taking a toll on my skin."""
Rosacea," ""I noticed my face gets flushed and red after intense workouts, especially in hot weather. It feels hot and tingly, and I'm worried it might be affecting my performance."""
Shingles (Herpes Zoster),"""Doctor, I have this burning rash on my right side, near my ribs. It's red and blistering, and it feels like someone is constantly poking needles into my skin. It's also very painful, especially when I try to touch it."""
Rosacea," ""My skin is very sensitive to everything, and even basic skincare products irritate it. I have rosacea, but I'm afraid to try any treatments because I'm worried they'll make my skin worse."""
Rosacea,"Rosacea typically presents with various symptoms, often affecting the facial skin. Common signs include persistent redness, primarily in the central face, often resembling a sunburn or blush. Small blood vessels may become visible, along with red, swollen bumpsresembling acnethat can be sensitive or painful. Additionally, individuals with rosacea may experience dry, irritated, or watery eyes, along with a thickening of the skin, particularly on the nose, leading to a condition known as rhinophyma. Flare-ups may be triggered by certain foods, beverages, stress, or environmental factors. Seeking dermatological advice is crucial for diagnosis and tailored management due to the condition's variability and potential long-term effects."
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?"""
Impetigo,"""My newborn baby has these tiny red bumps near her nose and ear. They look a bit raw and oozing clear fluid. Could it be impetigo?"""
Acne,"""I have so much going on at work right now, and I think it's starting to show on my face. I've noticed more breakouts than usual, and my skin feels oily and inflamed. Is there anything I can do to manage my stress and improve my skin at the same time?"""
Eczema,"""My child has developed eczema, just like I did when I was young. I'm worried it will get worse for them, and I want to know what I can do to help."""
Folliculitis,"""I have these tiny red bumps on my back and chest that feel like razor bumps. They're really itchy and uncomfortable, especially when I sweat."""
Psoriasis,"""My scalp has been itchy and scaly for months. No matter what shampoo I use, it doesn't get better. Lately, it's started spreading to my ears and neck."""
Impetigo,"""My child's daycare called and said she has impetigo. Now I'm worried about my other child catching it. What should I look for?"""
Contact Dermatitis," ""Doctor, my hands have been itchy and red all week. They're cracked and swollen, and it feels like tiny blisters are forming. I think it might be something I'm touching at work, maybe the new cleaning products?"""
Athlete's Foot (Tinea Pedis),"""My feet feel tender and sore, especially between my toes. And the skin there looks kind of discolored and thickened. I haven't had anything like this before."""
Vitiligo,"""I recently noticed some pale patches on my legs, around my ankles and knees. I haven't changed my training routine, but I'm worried it might affect my performance or recovery. Is there anything I should do differently?"""
Contact Dermatitis," ""My hands are dry and cracked, and the skin is peeling off in some places. I use a lot of chemicals and oils at work, could that be causing it?"""
Vitiligo,"""Doc, I've noticed these white patches appearing on my skin lately. They're mostly around my hands and arms, and they seem to be getting bigger. It's making me feel really self-conscious, especially at school. Is there anything I can do?"""
Impetigo,"""Doctor, my 4-year-old has these red, sore bumps around his mouth and nose. They look crusty and yellowish, and he keeps scratching them. Is it impetigo?"""
Athlete's Foot (Tinea Pedis),"""My feet are killing me! They're itchy and burning, and the skin on the bottoms feels scaly and dry. It's really affecting my practice, I can barely lift my feet anymore."""
Athlete's Foot (Tinea Pedis),"""It's embarrassing, but my feet smell awful! And they've been itchy and red around the toes for weeks. I thought it was just sweat, but it's getting worse."""
Hives (Urticaria)," ""My friends said hives can be from exercise, and I did work out really hard at the gym yesterday. Now I have these huge welts on my neck and arms. Should I be worried?"""
Psoriasis,"""My psoriasis is all over my body, and it's so thick and painful. I can barely move my joints anymore because of the psoriatic arthritis. I'm feeling hopeless."""
Psoriasis,"""My psoriasis usually flares before competitions, and it's making it hard to train and perform. The patches on my arms are itchy and distracting."""
Rosacea," ""I've been dealing with rosacea for years, but lately, it seems to be getting worse. The redness is more pronounced, and I have these enlarged blood vessels on my nose that make me feel self-conscious. I'm worried about permanent damage."""
Eczema,"""My baby has been scratching at their skin non-stop, and it's red and bumpy in patches. It's keeping them up at night, and I'm worried about infection."""
Scabies,"""Doctor, my baby has been scratching like crazy all night, especially their hands and feet. Their skin looks red and bumpy in some places, and they can't seem to stop scratching!"""
Scabies,"""I've been feeling stressed lately, and I've noticed these small, red bumps on my arms. I'm constantly scratching them, and I'm worried it's a sign of something more serious. Could it be all in my head?"""
Impetigo,"""Mom, my eczema patches are getting worse. They're redder and itchier, and some of them have started to blister and crust over. Could it be impetigo?"""
Hives (Urticaria)," ""Mommy, my skin is itchy and feels funny!"" (pointing to red, raised bumps on their arms)"
Acne,"""I've been eating really healthy lately, but I still can't seem to get rid of these stubborn pimples on my face. I've read that dairy or sugar can make acne worse, but I don't think that's the case for me. What else could be causing it?"""
Athlete's Foot (Tinea Pedis),"""My toenails look awful! They're discolored and crumbling, and the skin around them is red and swollen. I bite my nails sometimes, could that be related?"""
Psoriasis,"""My psoriasis is on my genitals, and it's very painful and embarrassing. I can't have intimate relations with my partner anymore."""
Shingles (Herpes Zoster),"""My back has been killing me lately, especially on one side. I thought it was just a pulled muscle, but now I see this red, itchy rash developing. It's not like anything I've seen before, and it's definitely not getting better."""
Acne,"""Doctor, my face has been breaking out like crazy lately. I have these huge pimples all over my forehead and chin, and they're really red and painful. I tried using some over-the-counter stuff, but it doesn't seem to be helping. Can you give me something stronger?"""
Athlete's Foot (Tinea Pedis),"""Doc, my feet have been itching like crazy lately, especially between my toes. It's worse after runs, and the skin between my toes is starting to look red and cracked."""
